id,owner,term,definition,source_term_ru,source_definition_ru
TERMDEF-BOIS,ORG-LEXICON,Business Operational Intelligence System [бизнес-операционная интеллектуальная система],"Regular transition grammar for organized consequential activity under incomplete knowledge. It is not a universal theory of everything, a private domain profile, or field validation.",BOIS,"Регулярная грамматика перехода для organized consequential activity [организованной деятельности с последствиями] при неполном знании. Не является универсальной теорией всего, частным доменным профилем или полевой валидацией."
TERMDEF-BUSINESS,ORG-LEXICON,organized consequential activity [организованная деятельность с последствиями],"Internal broad meaning of business: structured activity with aims, roles, memory, costs, feedback, responsibility, and repair. It is not limited to a commercial firm and is not stretched to everything without D/V/S.",Business в BOIS/BORIS,"Внутренний широкий смысл слова business: структурированное дело с целями, ролями, памятью, стоимостью, обратной связью, ответственностью и ремонтом. Не сводится к коммерческой фирме и не растягивается на всё без D/V/S."
TERMDEF-SIMA,ORG-LEXICON,Substrate-Independent Machine Analyzer [субстрато-независимый машинный анализатор],Analytical layer that reconstructs candidate philosophical machines from observed substrate physiology. SIMA is not the core and does not prove empirical validity of BOIS.,SIMA,"Аналитический слой, восстанавливающий кандидатные философские машины по наблюдаемой субстратной физиологии. SIMA не является ядром и не доказывает эмпирическую валидность BOIS."
TERMDEF-BORIS,ORG-LEXICON,Rational Operational-Intelligence System of Business [рациональная операционно-интеллектуальная система бизнеса],Implementation layer of BOIS: turns BOIS grammar into a narrow domain physiology tested by experience. BORIS is not a second core.,BORIS,"Внедряющий слой BOIS: превращает грамматику BOIS в узкую доменную физиологию, проверяемую опытом. BORIS не является вторым ядром."
TERMDEF-SOKRAT,ORG-LEXICON,Sokrat rule programming [правиловое программирование Сократ],"Engineering approach to rule-based programming of universal computing environments through declared rules, state, organs, stops, procedures, and QA.",Сократ,"Инженерный подход к программированию универсальных вычисляющих сред через загружаемые или внедряемые правила, термины, стопы, процедуры, тесты, владельцев, D/V/S, состояние и пакеты перехода. Не является наукой, картиной мира, субъектом или доказательством истины."
TERMDEF-PHILOSOPHICAL-MACHINE,ORG-LEXICON,Philosophical machine [философская машина],"Inspectable architecture of inquiry and action: it specifies ontology, evidence, agency, value interface, risk model, closure rule, and transition rule.",Философская машина,"Проверяемая архитектура исследования и действия: она задаёт онтологию, доказательность, агентность, ценностный интерфейс, модель риска, правило закрытия и правило перехода."
TERMDEF-CALCULATION,ORG-LEXICON,Calculation [расчёт],"Reproducible transformation of distinguishable states through operations, constraints, memory/trace, cost, and feedback. Calculation may be digital, biological, institutional, or hybrid; it is not only arithmetic and does not require consciousness.",Расчёт,"Воспроизводимое преобразование различимых состояний через операции, ограничения, память/след, стоимость и обратную связь. Расчёт может быть цифровым, биологическим, институциональным или гибридным; он не равен только арифметике и не требует сознания."
TERMDEF-COMPUTING-ENV,ORG-LEXICON,Computing environment [вычисляющая среда],"A substrate or set of substrates with states, channels, permitted operations, memory/trace, cost, errors, and feedback mechanisms, capable of executing calculation.",Вычисляющая среда,"Субстрат или совокупность субстратов с состояниями, каналами, допустимыми операциями, памятью/следом, стоимостью, ошибками и механизмами обратной связи, способная исполнять расчёт."
TERMDEF-UCE,ORG-LEXICON,"Universal Computing Environment, UCE [универсальная вычисляющая среда]",A substrate or environment capable of executing several architectures of inquiry and action under declared limitations.,Универсальная вычисляющая среда,"Вычисляющая среда с достаточной выразительной ёмкостью для настройки и исполнения нескольких различных архитектур исследования и действия, включая M=<O,E,A,V,R,C,T>. Универсальность относительна объявленному классу машин и ограничениям субстрата; это не означает способность вычислять всё и не означает, что среда обязательно является ИИ."
TERMDEF-DVS,ORG-LEXICON,Domain / Value interface / Substrate [область / ценностный интерфейс / субстрат],"Declaration of domain, external value interface, and substrate before analysis, transfer, or implementation.",D/V/S,"Трёхчастная рамка применимости: где действует система; какие цели, ограничения, риск и запрещённые потери допустимы; на чём машина исполняется, доказывается и искажается."
TERMDEF-M7,ORG-LEXICON,"<O,E,A,V,R,C,T>","Minimal machine frame: ontology, epistemology, agency, value interface, risk, closure rule, transition rule.",M7,"Минимальная запись философской машины: ontology [онтология], epistemology [эпистемология], agency [агентность], value interface [ценностный интерфейс], risk model [модель риска], closure rule [правило закрытия], transition rule [правило перехода]."
TERMDEF-MATS,ORG-LEXICON,Machine at substrate [машина на субстрате],"Machine M executed on substrate S; the substrate changes timing, channels, memory, incentives, failures, and responsibility.",M@S,"Машина M, исполненная на субстрате S. Проект неполон без объявления носителя, каналов, памяти, стоимости, искажений, режима отказа и ремонта."
TERMDEF-SUBSTRATE,ORG-LEXICON,Substrate [субстрат],"What runs the machine: a body, group, institution, software workflow, AI system, sensor network, robotic swarm, or hybrid ecology.",Субстрат,"То, что запускает машину: тело, группа, институт, software workflow [программный рабочий процесс], ИИ-система, сеть сенсоров, роботический рой или гибридная экология."
TERMDEF-PROTOCOL,ORG-LEXICON,Protocol [протокол],"Work form for unknown, unverified, or expensive-to-misjudge situations. Protocol differs from instruction.",Протокол,"Воспроизводимая работа с неизвестным, непроверенным или дорогим по ошибке."
TERMDEF-INSTRUCTION,ORG-LEXICON,Instruction [инструкция],Execution form for what is sufficiently verified inside a defined domain and has stop signals.,Инструкция,"Исполнение достаточно проверенного внутри заданной области со стоп-сигналами, путём возврата в протокол и условием пересмотра опытом."
TERMDEF-EXPERIENCE,ORG-LEXICON,Experience [опыт],"Action, observation, feedback, selection, and update; only this cycle revises an instruction or confirms a domain physiology.",Опыт,"Действие, наблюдение, обратная связь, отбор и обновление; только такой цикл пересматривает инструкцию или подтверждает доменную физиологию."
TERMDEF-PHYS,ORG-LEXICON,Physiology [физиология],"Organs, rules, procedures, tests, logs, packages, and artifacts that release attention, reduce rework, preserve responsibility, and return experience into improved routines.",Физиология,"Органы, правила, процедуры, тесты, журналы, пакеты и артефакты, которые освобождают внимание, снижают переделки, сохраняют ответственность и возвращают опыт в улучшенные рутины."
TERMDEF-DOMAIN-PHYS,ORG-LEXICON,Domain physiology [доменная физиология],A private BOIS realization for a specific domain. At D2-D3 it is formalized as a separate physiology document and load archive.,Доменная физиология,Частная реализация BOIS для конкретной области. На уровнях D2-D3 оформляется отдельным физиологическим документом и загрузочным архивом.
TERMDEF-SOKRAT-LOAD-ARCHIVE,ORG-LEXICON,Sokrat load archive [загрузочный архив Сократ],"A single ZIP archive that functions as a load document for a digital environment. The PDF remains the human-readable canonical surface, while JSON/CSV/README files are derived load representations.",Загрузочный архив,"Единый ZIP-архив, который является загрузочным документом для цифровой среды. Внутри него PDF остаётся человекочитаемой канонической поверхностью, а JSON/CSV/README являются производными загрузочными представлениями."
TERMDEF-MACHINE-MAP,ORG-LEXICON,Machine-readable map [машиночитаемая карта],"Derived JSON/CSV registry of rules, terms, stops, procedures, tests, versions, and hashes. It does not create a second norm without matching the PDF and manifest.",Машинная карта,"Производный JSON/CSV-реестр правил, терминов, стопов, процедур, тестов, версий и хэшей. Не создаёт вторую норму без совпадения с PDF и манифестом."
TERMDEF-PDF-CANON,ORG-LEXICON,Human-readable PDF canon [человекочитаемый PDF-канон],Visible normative surface for humans. In this build the PDF is the source of active rule formulations; the archive is the load container.,PDF-канон,Видимая нормативная поверхность для человека. В этой сборке PDF является источником активных формулировок правил; архив является контейнером загрузки.
TERMDEF-HUMAN-PROCEDURE,ORG-LEXICON,Human accountable procedure [подотчётная человеческая процедура],"Explicit process with a competent human or authorized contour, authority scope, decision criterion, responsibility record, stop right, and rollback path.",Человеческая процедура,"Явный процесс с компетентным человеком или уполномоченным контуром, областью полномочий, критерием решения, записью ответственности, правом остановки и путём отката."
TERMDEF-S0S4,ORG-LEXICON,SIMA confidence scale [шкала уверенности SIMA],SIMA confidence scale: S0 insufficient evidence; S1 weak hypothesis; S2 repeatability inside W; S3 main alternatives and exceptions checked; S4 external or independent check outside initial W.,S0-S4,S0 - свидетельств недостаточно; S1 - слабая гипотеза; S2 - повторяемость внутри окна W; S3 - проверены основные альтернативы и исключения; S4 - есть внешняя или независимая проверка вне исходного окна.
TERMDEF-OPERATOR,ORG-LEXICON,Operator [оператор],"Human or authorized contour that sets final goals, consent, acceptance, rule changes, and finalization.",Оператор,"Человек или уполномоченный контур, задающий конечные цели, согласие, принятие, изменение правил и финализацию."
TERMDEF-EVIDENCE,ORG-LEXICON,Evidence boundary [граница доказательности],"Distinction among fact, source, inference, hypothesis, evaluation, unknown, risk, and unverified material.",Граница доказательности,"Различение факта, источника, вывода, гипотезы, оценки, неизвестного, риска и непроверенного."
TERMDEF-APPLICABILITY,ORG-LEXICON,Applicability [применимость],"Conditions under which a claim, instruction, procedure, or artifact is valid.",Применимость,"Условия, в которых утверждение, инструкция, процедура или артефакт действуют."
TERMDEF-STOP,ORG-LEXICON,Stop signal [стоп-сигнал],"Condition for stopping, escalation, return to protocol, safe partial answer, or physiology repair.",Стоп-сигнал,"Условие остановки, эскалации, возврата в протокол, безопасного частичного ответа или ремонта физиологии."
TERMDEF-STOP-SEVERITY,ORG-LEXICON,Stop severity [тяжесть стопа],"Reaction class for a stop: S-BLOCK, S-LIMIT, S-MARK, S-ESCALATE, S-REPAIR.",Тяжесть стопа,"Класс реакции на стоп: S-BLOCK [блокировка], S-LIMIT [ограниченный ответ], S-MARK [маркировка], S-ESCALATE [эскалация], S-REPAIR [ремонт]."
TERMDEF-ROLLBACK,ORG-LEXICON,Rollback [откат],Path of return to the last safe state.,Откат,Путь возврата к последнему безопасному состоянию.
TERMDEF-MANIFEST,ORG-LEXICON,Manifest [манифест],"List of archive composition, versions, checksums, checks, exceptions, and rollback.",Манифест,"Список состава архива, версий, контрольных сумм, проверок, исключений и отката."
TERMDEF-QA,ORG-LEXICON,Quality assurance [контроль качества],"Checking the map, rules, owners, terms, loading, recovery, evidence, and applicability boundaries.",QA,"Проверка карты, правил, владельцев, терминов, загрузки, восстановления, доказательности и границ применимости."
TERMDEF-QA-LEVELS,ORG-LEXICON,QA levels [уровни контроля качества],QA-A structural; QA-B semantic; QA-C scenario; QA-D load; QA-E field. The current package does not claim QA-E.,QA-A/B/C/D/E,QA-A структурный; QA-B смысловой; QA-C сценарный; QA-D загрузочный; QA-E полевой. Текущий пакет не заявляет QA-E.
TERMDEF-VERBOSITY,ORG-LEXICON,Verbosity level [степень подробности],"Visible answer density: compact, standard, full/audit, transition. Verbosity is stated with the visible message ordinal.",Степень подробности,"Видимая плотность ответа: compact [кратко], standard [стандартно], full/audit [полно/аудиторски], transition [переходно]. Степень подробности проговаривается при любом формате вместе с порядковым номером сообщения на видимой поверхности."
TERMDEF-CONTOUR,ORG-LEXICON,Contour [контур],"Bounded frame of analysis: domain, task, risk, source, substrate, artifact, or open question.",Контур,"Ограниченная рамка анализа: область, задача, риск, источник, субстрат, артефакт или открытый вопрос."
TERMDEF-ARTIFACT,ORG-LEXICON,Artifact [артефакт],"Created carrier of result: PDF, JSON, CSV, ZIP, log, scheme, or another verifiable object.",Артефакт,"Созданный носитель результата: PDF, JSON, CSV, ZIP, журнал, схема или другой проверяемый объект."
TERMDEF-OWNER,ORG-LEXICON,Owner [владелец],"Organ responsible for function, record, verification, and repair of an object.",Владелец,"Орган, ответственный за функцию, запись, проверку и ремонт объекта."
TERMDEF-CLOSURE,ORG-LEXICON,Closure [закрытие],"Fixing result, open questions, rollback, responsibility, and transition; not the same as a nice summary.",Закрытие,"Фиксация результата, открытых вопросов, отката, ответственности и перехода; не равно красивому резюме."
TERMDEF-TRANSITION,ORG-LEXICON,Transition [переход],"Carrying state, unknowns, responsibility, artifacts, and conditions into the next cycle.",Переход,"Перенос состояния, неизвестностей, ответственности, артефактов и условий в следующий цикл."
TERMDEF-HIGH-RISK,ORG-LEXICON,High-risk domain [область высокого риска],"Decision with substantial legal, medical, financial, personnel, safety, or rights consequences, or irreversible loss of rights.",Высокий риск,"Решение с существенным вредом, правовыми, медицинскими, финансовыми, кадровыми, безопасностными последствиями или необратимой потерей прав."
TERMDEF-SINGLE-WRITER,ORG-LEXICON,Single-writer ownership [единственный владелец записи],"Each type of normative record or state has one owner; dependencies read and propose, but do not appropriate ownership.",Единственный владелец записи,"Каждый тип нормативной записи или состояния имеет одного владельца; зависимости читают и предлагают, но не присваивают владение."
TERMDEF-AUTONOMOUS-SCANNER,ORG-LEXICON,Autonomous context scanner [автономный сканер контура],"Check of recency, domain, premises, safety, evidence, authority, substrate, and artifact before answering.",Автономный сканер контура,"Проверка актуальности, области, предпосылок, безопасности, доказательности, полномочия, субстрата и артефакта перед ответом."
TERMDEF-NARRATIVE-FIREWALL,ORG-LEXICON,Narrative gravity firewall [защита от нарративной гравитации],"Ban on one convenient hypothesis explaining everything without alternatives, counterdata, and applicability boundaries.",Защита от нарративной гравитации,"Запрет одной удобной гипотезе объяснять всё без альтернатив, контрданных и границ применимости."
TERMDEF-SHORTCUT-GATE,ORG-LEXICON,Hidden protocol shortcut gate [ворота против скрытого протокольного ярлыка],"Format, counter, template, memory, or ritual cannot replace core semantic reasoning.",Ворота против скрытого ярлыка,"Формат, счётчик, шаблон, память или ритуал не могут заменить смысловой расчёт ядра."
TERMDEF-CANDIDATE-MACHINE,ORG-LEXICON,Candidate machine reconstruction [реконструкция кандидатной машины],"A system or behavior explanation is given as a candidate reconstruction with confidence level, not as a diagnosis or final entity.",Кандидатная машина,"Объяснение системы или поведения даётся как кандидатная реконструкция с уровнем уверенности, а не как диагноз или окончательная сущность."
TERMDEF-REBOUND,ORG-LEXICON,Rebound [отскок],Repeated consequence of a decision showing stability or a pattern defect rather than a single result.,Отскок,"Повторное последствие решения, показывающее устойчивость или дефект паттерна, а не единичный результат."
TERMDEF-PASSABLE,ORG-LEXICON,Passable route is not completion [проходимый путь не равен завершению],"A working route is not completion until stability, consequences, closure, and transfer are checked.",Проходимый путь не равен завершению,"Найденный рабочий вариант не считается завершением, пока не проверены устойчивость, последствия, закрытие и перенос."
TERMDEF-CONTOUR-BUDGET,ORG-LEXICON,Active contour budget [бюджет активных контуров],Limit on simultaneously opened analysis frames to avoid overloading attention and losing the main issue.,Бюджет активных контуров,"Ограничение числа одновременно раскрытых рамок анализа, чтобы не перегружать внимание и не терять главное."
TERMDEF-PACKAGE-HYGIENE,ORG-LEXICON,Package hygiene [гигиена пакета],"A substantial artifact package contains manifest, checksums, QA boundary, exceptions, load order, and rollback path.",Гигиена пакета,"Пакет существенных артефактов содержит манифест, контрольные суммы, границу QA, исключения, порядок загрузки и путь отката."
TERMDEF-RULE-PURITY,ORG-LEXICON,Rule purity [чистота правил],"Separation of governing norm from example, scenario, format detail, or private instruction.",Чистота правил,"Отделение управляющей нормы от примера, сценария, форматной детали или частной инструкции."
TERMDEF-ANTI-BUREAUCRACY,ORG-LEXICON,Anti-bureaucracy gate [анти-бюрократический контроль],"A physiological object is justified only if it improves meaning, verification, responsibility, recovery, risk reduction, or attention liberation.",Анти-бюрократия,"Физиологический объект оправдан только если улучшает смысл, проверяемость, ответственность, восстановление, снижение риска или освобождение внимания."
TERMDEF-SYSTEM-BLOAT,ORG-LEXICON,System bloat [вздутие системы],"Dynamic defect in which analysis opens new frames, organs, checks, or documents without gains in meaning, safety, evidence, responsibility, artifact, or attention liberation. Do not confuse with philosophical-machine boiling.",Вздутие системы,"Динамический дефект, при котором анализ открывает всё новые рамки, органы, проверки или документы без прироста смысла, безопасности, доказательности, ответственности, артефакта или освобождения внимания. Не путать с кипением философских машин."
TERMDEF-OPERATOR-MESSAGE-50,ORG-LEXICON,Operator message #50 [сообщение оператора номер 50],"The fiftieth operator message in the working-session counter, or an explicit #50 marker used by the operator as a completion/transfer command. The counter lives in execution state.",Сообщение оператора #50,"Пятидесятое сообщение оператора в счётчике рабочей сессии или явный маркер #50, если оператор использует его как команду завершения/переноса. Счётчик ведётся в состоянии исполнения."
TERMDEF-SURFACE-CONTRACT,ORG-LEXICON,Surface contract [контракт поверхности],"Minimum visible answer form for build, repair, audit, BOIS archive delivery, and substantial artifact: message number, mode, verbosity, D/V/S, sources, decisions/changes, artifacts, QA, stops/boundaries, debts, and next transition.",Контракт поверхности ответа,"Минимальная видимая форма ответа для сборки, ремонта, аудита, выдачи BOIS-архива и существенного артефакта: номер сообщения, режим, степень подробности, D/V/S, источники, решения/изменения, артефакты, QA [контроль качества], стопы/границы, долги и следующий переход."
TERMDEF-MACHINE-BOILING,ORG-LEXICON,Inter-machine boiling [кипение взаимодействующих машин],Operation of interacting philosophical machines over time: between machines in one ecology or between sub-machines inside a higher-order machine. A request to examine boiling means checking how philosophical machines interact over time without descending into private layers without reason.,Кипение философских машин,"Работа взаимодействующих философских машин во времени: между машинами одной экологии или между под-машинами внутри машины большего порядка. Запрос «исследуй кипение» означает: проверить, как философские машины взаимодействуют друг с другом во времени, не спускаясь без причины в частные слои."
TERMDEF-CORE-ARTICLES,ORG-LEXICON,Non-excludable core articles [неисключаемые ядровые статьи],Engineering introduction and theoretical article without which the physiology is not considered complete; stored in core/articles and not treated as chat history or local memory.,Неисключаемые ядровые статьи,"Инженерная вводная и теоретическая статья, без которых физиология не считается полной; они хранятся в core/articles и не относятся к истории чата или локальной памяти."
TERMDEF-AUTHOR-SUPPORT-MESSAGE,ORG-LEXICON,Author support message [авторское сообщение поддержки],"Author text with Patreon, Ko-fi, Buy Me a Coffee, and About me links; shown in the first greeting and every physiology archive request, translated into the operator language.",Авторское сообщение поддержки,"Текст автора с ссылками Patreon, Ko-fi, Buy Me a Coffee и About me; показывается в первом приветствии и при каждом запросе физиологического архива, переводится на язык оператора."
